engine,uptake_basis,FY,component,series_id,km,revenue,implied_rate
ensemble,MoT VFM slow,2040,phev,phev_ruc_net_revenue,3897.6997673710875,246.47104478971067,0.06323499999999999
ensemble,MoT VFM base,2050,conventional,light_ruc_net_revenue,6207.828794250147,1033.6655725305918,0.16650999999999996
ensemble,MoT VFM base,2050,bev,light_bev_ruc_net_revenue,42570.73758968652,7088.453516058697,0.16650999999999985
ensemble,MoT VFM base,2050,phev,phev_ruc_net_revenue,3042.299387722571,249.80320272590004,0.08210999999999992
ensemble,MoT VFM fast,2050,conventional,light_ruc_net_revenue,4281.54357178603,712.9198201380917,0.16650999999999996
ensemble,MoT VFM fast,2050,bev,light_bev_ruc_net_revenue,44461.88826515745,7403.349015031361,0.16650999999999985
ensemble,MoT VFM fast,2050,phev,phev_ruc_net_revenue,3077.4339347157556,252.68810037951044,0.08210999999999992
ensemble,MoT VFM slow,2050,conventional,light_ruc_net_revenue,8962.668876868445,1492.3739946873645,0.16650999999999996
ensemble,MoT VFM slow,2050,bev,light_bev_ruc_net_revenue,39860.05188285069,6637.097239013463,0.16650999999999985
ensemble,MoT VFM slow,2050,phev,phev_ruc_net_revenue,2998.1450119401047,246.17768693040176,0.08210999999999992
ar1,MoT VFM base,2030,conventional,light_ruc_net_revenue,14552.971035061611,1309.1303913442225,0.08995622874464686
ar1,MoT VFM base,2030,bev,light_bev_ruc_net_revenue,3437.1140934214673,309.21996941466256,0.08996500000000007
ar1,MoT VFM base,2030,phev,phev_ruc_net_revenue,1878.889739407174,83.356943288799,0.044364999999999856
ar1,MoT VFM fast,2030,conventional,light_ruc_net_revenue,13711.639163255668,1233.447349033885,0.08995622874464686
ar1,MoT VFM fast,2030,bev,light_bev_ruc_net_revenue,3897.61732393456,350.64914254777295,0.08996500000000007
ar1,MoT VFM fast,2030,phev,phev_ruc_net_revenue,2259.7183807000265,100.25240595975635,0.044364999999999856
ar1,MoT VFM slow,2030,conventional,light_ruc_net_revenue,15572.94485990476,1400.883390045365,0.08995622874464686
ar1,MoT VFM slow,2030,bev,light_bev_ruc_net_revenue,2727.6128698639745,245.38969183731265,0.08996500000000007
ar1,MoT VFM slow,2030,phev,phev_ruc_net_revenue,1568.4171381215208,69.58282633276104,0.044364999999999856
ar1,MoT VFM base,2031,conventional,light_ruc_net_revenue,14393.626371033974,1349.97821733928,0.09379000000000025
ar1,MoT VFM base,2031,bev,light_bev_ruc_net_revenue,4136.464957208158,387.95904833655317,0.09379000000000001
ar1,MoT VFM base,2031,phev,phev_ruc_net_revenue,2208.3308898987298,102.14634531226594,0.04625500000000009
ar1,MoT VFM fast,2031,conventional,light_ruc_net_revenue,13366.452318569458,1253.6395629586327,0.09379000000000025
ar1,MoT VFM fast,2031,bev,light_bev_ruc_net_revenue,4736.095697223483,444.1984154425905,0.09379000000000001
ar1,MoT VFM fast,2031,phev,phev_ruc_net_revenue,2635.8742023479217,121.92236122960335,0.04625500000000009
ar1,MoT VFM slow,2031,conventional,light_ruc_net_revenue,15618.976786215046,1464.903832779113,0.09379000000000025
ar1,MoT VFM slow,2031,bev,light_bev_ruc_net_revenue,3276.007080955276,307.2567041227954,0.09379000000000003
ar1,MoT VFM slow,2031,phev,phev_ruc_net_revenue,1843.4383509705413,85.26824092414255,0.04625500000000009
ar1,MoT VFM base,2040,conventional,light_ruc_net_revenue,10633.407435309253,1363.5750024668814,0.12823499999999993
ar1,MoT VFM base,2040,bev,light_bev_ruc_net_revenue,18145.70560302013,2326.9145580032855,0.12823499999999993
ar1,MoT VFM base,2040,phev,phev_ruc_net_revenue,4212.539103763076,266.37991022645804,0.06323499999999999
ar1,MoT VFM fast,2040,conventional,light_ruc_net_revenue,8417.985002315603,1079.4803067719408,0.12823499999999993
ar1,MoT VFM fast,2040,bev,light_bev_ruc_net_revenue,20075.981186549678,2574.4434474571967,0.12823499999999993
ar1,MoT VFM fast,2040,phev,phev_ruc_net_revenue,4497.685953227181,284.41117125232074,0.06323499999999999
ar1,MoT VFM slow,2040,conventional,light_ruc_net_revenue,13885.328603651024,1780.585113489188,0.12823499999999993
ar1,MoT VFM slow,2040,bev,light_bev_ruc_net_revenue,15208.623771070352,1950.2778692832055,0.12823499999999993
ar1,MoT VFM slow,2040,phev,phev_ruc_net_revenue,3897.6997673710875,246.47104478971067,0.06323499999999999
ar1,MoT VFM base,2050,conventional,light_ruc_net_revenue,6207.828794250147,1033.6655725305918,0.16650999999999996
ar1,MoT VFM base,2050,bev,light_bev_ruc_net_revenue,42570.73758968652,7088.453516058697,0.16650999999999985
ar1,MoT VFM base,2050,phev,phev_ruc_net_revenue,3042.299387722571,249.80320272590004,0.08210999999999992
ar1,MoT VFM fast,2050,conventional,light_ruc_net_revenue,4281.54357178603,712.9198201380917,0.16650999999999996
ar1,MoT VFM fast,2050,bev,light_bev_ruc_net_revenue,44461.88826515745,7403.349015031361,0.16650999999999985
ar1,MoT VFM fast,2050,phev,phev_ruc_net_revenue,3077.4339347157556,252.68810037951044,0.08210999999999992
ar1,MoT VFM slow,2050,conventional,light_ruc_net_revenue,8962.668876868445,1492.3739946873645,0.16650999999999996
ar1,MoT VFM slow,2050,bev,light_bev_ruc_net_revenue,39860.05188285069,6637.097239013463,0.16650999999999985
ar1,MoT VFM slow,2050,phev,phev_ruc_net_revenue,2998.1450119401047,246.17768693040176,0.08210999999999992
