stream,ensemble,component_model,weight,method,origin
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__solver_preq_convex_top18,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top3_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top3_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.05__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.10__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.00__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__diff__GBR_learning_rate0_05_max_depth1_n_estimators650__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__solver_static_convex_top18,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__solver_preq_convex_top18,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top3_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top3_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.05__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.10__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.00__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__diff__GBR_learning_rate0_05_max_depth1_n_estimators650__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__solver_static_convex_top18,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__solver_preq_convex_top18,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top3_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top3_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.05__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.10__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.00__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__diff__GBR_learning_rate0_05_max_depth1_n_estimators650__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__solver_static_convex_top18,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__solver_preq_convex_top18,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top3_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top3_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.05__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.10__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.00__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__diff__GBR_learning_rate0_05_max_depth1_n_estimators650__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__solver_static_convex_top18,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__solver_preq_convex_top18,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top3_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top3_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.05__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.10__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.00__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__diff__GBR_learning_rate0_05_max_depth1_n_estimators650__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__solver_static_convex_top18,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__solver_preq_convex_top18,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top3_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top3_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.05__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.10__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__fixedblend_schiff0.00__PED__diff__GBRLocal_learning_rate0_055_max_depth1_n_estimators600__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__diff__GBR_learning_rate0_05_max_depth1_n_estimators650__ylag__w40,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__solver_static_convex_top18,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top8_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__solver_preq_convex_top18,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top10_median,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
PED,PED__HPOREFINE_solver_preq_convex_top18,PED__top5_trimmed_mean,0.05555555555555555,prequential_convex_mape_hpo_refined,2011Q4
