case_id,history_candidate,component_label,component_model,origin,target_period,horizon,feature_order,feature_name,current_repo_feature_value,source_script_feature_value,current_vs_source_abs_delta,parent_feature_value,comparison_status,current_training_start,current_training_end,current_training_rows,source_training_start,source_training_end,source_training_rows,target_transform,inverse_transform,hyperparameters_json,stored_component_pred,replayed_component_pred,abs_delta,notes
current_repo_model_input_history::C1,current_repo_model_input_history,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2017Q3,2020Q2,11,172,log_real_light_ruc_price__log_lag8,4.418555457808505,4.418555457808505,0.0,,parent_feature_matrix_missing,2009Q3,2017Q3,33,2009Q3,2017Q3,33,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""alpha"": 0.005, ""l1_ratio"": 0.2, ""max_iter"": 50000, ""random_state"": 42}",1093004508.951507,1056942110.9376568,36062398.01385033,Parent-run fitted feature matrix is not available. This compares the committed repo history feature row with the source-script workbook feature row.
current_repo_model_input_history::C1,current_repo_model_input_history,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2017Q3,2020Q2,11,173,log_lagged_real_light_ruc_price__lag1,4.53784303739493,,,,parent_feature_matrix_missing,2009Q3,2017Q3,33,2009Q3,2017Q3,33,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""alpha"": 0.005, ""l1_ratio"": 0.2, ""max_iter"": 50000, ""random_state"": 42}",1093004508.951507,1056942110.9376568,36062398.01385033,Parent-run fitted feature matrix is not available. This compares the committed repo history feature row with the source-script workbook feature row.
current_repo_model_input_history::C1,current_repo_model_input_history,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2017Q3,2020Q2,11,174,log_lagged_real_light_ruc_price__log_lag1,4.53784303739493,,,,parent_feature_matrix_missing,2009Q3,2017Q3,33,2009Q3,2017Q3,33,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""alpha"": 0.005, ""l1_ratio"": 0.2, ""max_iter"": 50000, ""random_state"": 42}",1093004508.951507,1056942110.9376568,36062398.01385033,Parent-run fitted feature matrix is not available. This compares the committed repo history feature row with the source-script workbook feature row.
current_repo_model_input_history::C1,current_repo_model_input_history,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2017Q3,2020Q2,11,175,log_lagged_real_light_ruc_price__lag2,4.536944270087894,,,,parent_feature_matrix_missing,2009Q3,2017Q3,33,2009Q3,2017Q3,33,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""alpha"": 0.005, ""l1_ratio"": 0.2, ""max_iter"": 50000, ""random_state"": 42}",1093004508.951507,1056942110.9376568,36062398.01385033,Parent-run fitted feature matrix is not available. This compares the committed repo history feature row with the source-script workbook feature row.
current_repo_model_input_history::C1,current_repo_model_input_history,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2017Q3,2020Q2,11,176,log_lagged_real_light_ruc_price__log_lag2,4.536944270087894,,,,parent_feature_matrix_missing,2009Q3,2017Q3,33,2009Q3,2017Q3,33,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""alpha"": 0.005, ""l1_ratio"": 0.2, ""max_iter"": 50000, ""random_state"": 42}",1093004508.951507,1056942110.9376568,36062398.01385033,Parent-run fitted feature matrix is not available. This compares the committed repo history feature row with the source-script workbook feature row.
current_repo_model_input_history::C1,current_repo_model_input_history,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2017Q3,2020Q2,11,177,log_lagged_real_light_ruc_price__lag4,4.498520940570822,,,,parent_feature_matrix_missing,2009Q3,2017Q3,33,2009Q3,2017Q3,33,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""alpha"": 0.005, ""l1_ratio"": 0.2, ""max_iter"": 50000, ""random_state"": 42}",1093004508.951507,1056942110.9376568,36062398.01385033,Parent-run fitted feature matrix is not available. This compares the committed repo history feature row with the source-script workbook feature row.
current_repo_model_input_history::C1,current_repo_model_input_history,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2017Q3,2020Q2,11,178,log_lagged_real_light_ruc_price__log_lag4,4.498520940570822,,,,parent_feature_matrix_missing,2009Q3,2017Q3,33,2009Q3,2017Q3,33,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""alpha"": 0.005, ""l1_ratio"": 0.2, ""max_iter"": 50000, ""random_state"": 42}",1093004508.951507,1056942110.9376568,36062398.01385033,Parent-run fitted feature matrix is not available. This compares the committed repo history feature row with the source-script workbook feature row.
current_repo_model_input_history::C1,current_repo_model_input_history,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2017Q3,2020Q2,11,179,log_lagged_real_light_ruc_price__lag8,4.421743495888235,,,,parent_feature_matrix_missing,2009Q3,2017Q3,33,2009Q3,2017Q3,33,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""alpha"": 0.005, ""l1_ratio"": 0.2, ""max_iter"": 50000, ""random_state"": 42}",1093004508.951507,1056942110.9376568,36062398.01385033,Parent-run fitted feature matrix is not available. This compares the committed repo history feature row with the source-script workbook feature row.
current_repo_model_input_history::C1,current_repo_model_input_history,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2017Q3,2020Q2,11,180,log_lagged_real_light_ruc_price__log_lag8,4.421743495888235,,,,parent_feature_matrix_missing,2009Q3,2017Q3,33,2009Q3,2017Q3,33,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""alpha"": 0.005, ""l1_ratio"": 0.2, ""max_iter"": 50000, ""random_state"": 42}",1093004508.951507,1056942110.9376568,36062398.01385033,Parent-run fitted feature matrix is not available. This compares the committed repo history feature row with the source-script workbook feature row.
current_repo_model_input_history::C1,current_repo_model_input_history,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2017Q3,2020Q2,11,181,unemployment_rate__lag1,0.042,0.042,0.0,,parent_feature_matrix_missing,2009Q3,2017Q3,33,2009Q3,2017Q3,33,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""alpha"": 0.005, ""l1_ratio"": 0.2, ""max_iter"": 50000, ""random_state"": 42}",1093004508.951507,1056942110.9376568,36062398.01385033,Parent-run fitted feature matrix is not available. This compares the committed repo history feature row with the source-script workbook feature row.
current_repo_model_input_history::C1,current_repo_model_input_history,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2017Q3,2020Q2,11,182,unemployment_rate__log_lag1,-3.170085660698769,-3.170085660698769,0.0,,parent_feature_matrix_missing,2009Q3,2017Q3,33,2009Q3,2017Q3,33,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""alpha"": 0.005, ""l1_ratio"": 0.2, ""max_iter"": 50000, ""random_state"": 42}",1093004508.951507,1056942110.9376568,36062398.01385033,Parent-run fitted feature matrix is not available. This compares the committed repo history feature row with the source-script workbook feature row.
current_repo_model_input_history::C1,current_repo_model_input_history,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2017Q3,2020Q2,11,183,unemployment_rate__lag2,0.040999999999999995,0.040999999999999995,0.0,,parent_feature_matrix_missing,2009Q3,2017Q3,33,2009Q3,2017Q3,33,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""alpha"": 0.005, ""l1_ratio"": 0.2, ""max_iter"": 50000, ""random_state"": 42}",1093004508.951507,1056942110.9376568,36062398.01385033,Parent-run fitted feature matrix is not available. This compares the committed repo history feature row with the source-script workbook feature row.
current_repo_model_input_history::C1,current_repo_model_input_history,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2017Q3,2020Q2,11,184,unemployment_rate__log_lag2,-3.1941832122778293,-3.1941832122778293,0.0,,parent_feature_matrix_missing,2009Q3,2017Q3,33,2009Q3,2017Q3,33,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""alpha"": 0.005, ""l1_ratio"": 0.2, ""max_iter"": 50000, ""random_state"": 42}",1093004508.951507,1056942110.9376568,36062398.01385033,Parent-run fitted feature matrix is not available. This compares the committed repo history feature row with the source-script workbook feature row.
current_repo_model_input_history::C1,current_repo_model_input_history,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,2017Q3,2020Q2,11,185,unemployment_rate__lag4,0.040999999999999995,0.040999999999999995,0.0,,parent_feature_matrix_missing,2009Q3,2017Q3,33,2009Q3,2017Q3,33,log target for component model fit,"exp(pred_log), clipped by source safe_exp","{""alpha"": 0.005, ""l1_ratio"": 0.2, ""max_iter"": 50000, ""random_state"": 42}",1093004508.951507,1056942110.9376568,36062398.01385033,Parent-run fitted feature matrix is not available. This compares the committed repo history feature row with the source-script workbook feature row.
