comparison,fy,stream,current,official,gap_current_minus_official,row_kind
actual_default_ui,2030,net_fed,2657.1587751622055,2646.99523947345,10.163535688755474,replaced
actual_default_ui,2030,gross_ped,2716.3269897056257,2706.16345401687,10.163535688755474,replaced
actual_default_ui,2030,light_ruc_conventional,1309.100077907835,1295.55904536384,13.541032543995016,replaced
actual_default_ui,2030,light_bev,309.21996941466256,276.56467906435,32.655290350312555,replaced
actual_default_ui,2030,phev,83.356943288799,74.92884788283,8.428095405969003,replaced
actual_default_ui,2030,heavy_ruc_conventional,1561.9271448665058,1652.12295550638,-90.19581063987425,replaced
actual_default_ui,2030,total_ruc,3253.9778950949535,3289.93253419396,-35.95463909900627,replaced
actual_default_ui,2030,total_nltf,6408.578288238843,6434.36939164909,-25.79110341024716,replaced
actual_default_ui,2030,heavy_bev,32.8477686056627,32.8477686056627,0.0,fixed_shared
actual_default_ui,2030,ruc_admin,42.4740089885113,42.4740089885113,0.0,fixed_shared
actual_default_ui,2030,ruc_refunds,110.930625671315,110.930625671315,0.0,fixed_shared
actual_default_ui,2030,fed_refunds,102.412992390514,102.412992390514,0.0,fixed_shared
actual_default_ui,2030,net_mvr,479.8837182888595,479.88371828886,-5.115907697472721e-13,fixed_shared
actual_default_ui,2030,tuc,17.5578996928248,17.5578996928248,0.0,fixed_shared
actual_default_ui,2030,gross_lpg,43.2447778470936,43.2447778470936,0.0,fixed_shared
actual_default_ui,2030,gross_cng,0.0,0.0,0.0,fixed_shared
policy_aligned_delayed,2026,net_fed,2103.64388651804,2031.56232478189,72.08156173614975,replaced
policy_aligned_delayed,2026,gross_ped,2134.86624857345,2062.7846868373,72.08156173614998,replaced
policy_aligned_delayed,2026,light_ruc_conventional,877.5235353226007,873.815974346887,3.7075609757137045,replaced
policy_aligned_delayed,2026,light_bev,84.39959843948414,81.4648074039889,2.9347910354952376,replaced
policy_aligned_delayed,2026,phev,22.624635894224657,21.8403214998817,0.7843143943429567,replaced
policy_aligned_delayed,2026,heavy_ruc_conventional,1128.6713239157214,1146.5048086003,-17.833484684578707,replaced
policy_aligned_delayed,2026,total_ruc,2078.648222365951,2089.05368416013,-10.405461794179246,replaced
policy_aligned_delayed,2026,total_nltf,4624.827379898994,4563.15127995703,61.67609994196391,replaced
policy_aligned_delayed,2026,heavy_bev,0.0,0.0,0.0,fixed_shared
policy_aligned_delayed,2026,ruc_admin,34.57087120608,34.57087120608,0.0,fixed_shared
policy_aligned_delayed,2026,ruc_refunds,67.8850340031132,67.8850340031132,0.0,fixed_shared
policy_aligned_delayed,2026,fed_refunds,73.2675246956005,73.2675246956005,0.0,fixed_shared
policy_aligned_delayed,2026,net_mvr,425.1291935285919,425.129193528592,-1.1368683772161603e-13,fixed_shared
policy_aligned_delayed,2026,tuc,17.4060774864124,17.4060774864124,0.0,fixed_shared
policy_aligned_delayed,2026,gross_lpg,42.0451626401906,42.0451626401906,0.0,fixed_shared
policy_aligned_delayed,2026,gross_cng,0.0,0.0,0.0,fixed_shared
policy_aligned_delayed,2027,net_fed,2002.9086864159747,1987.7069575882256,15.201728827749093,replaced
policy_aligned_delayed,2027,gross_ped,2042.38095849959,2027.1792296718454,15.201728827744546,replaced
policy_aligned_delayed,2027,light_ruc_conventional,857.1042499167504,869.2365360625029,-12.13228614575246,replaced
policy_aligned_delayed,2027,light_bev,102.05018299522177,105.58691210226495,-3.536729107043172,replaced
policy_aligned_delayed,2027,phev,28.08346753786165,29.205698653965246,-1.1222311161035954,replaced
policy_aligned_delayed,2027,heavy_ruc_conventional,1137.9793914128343,1177.3381482581833,-39.358756845349035,replaced
policy_aligned_delayed,2027,total_ruc,2089.479416095769,2146.2564313365524,-56.777015240783385,replaced
policy_aligned_delayed,2027,total_nltf,4606.095754355018,4647.671040768058,-41.575286413040885,replaced
policy_aligned_delayed,2027,heavy_bev,0.0,0.0,0.0,fixed_shared
policy_aligned_delayed,2027,ruc_admin,35.7378757668996,35.7378757668996,0.0,fixed_shared
policy_aligned_delayed,2027,ruc_refunds,79.5158512577278,79.5158512577278,0.0,fixed_shared
policy_aligned_delayed,2027,fed_refunds,82.1049619039565,82.1049619039565,0.0,fixed_shared
policy_aligned_delayed,2027,net_mvr,496.1497521504495,496.149752150449,5.115907697472721e-13,fixed_shared
policy_aligned_delayed,2027,tuc,17.5578996928248,17.5578996928248,0.0,fixed_shared
policy_aligned_delayed,2027,gross_lpg,42.6326898203412,42.6326898203412,0.0,fixed_shared
policy_aligned_delayed,2027,gross_cng,0.0,0.0,0.0,fixed_shared
policy_aligned_delayed,2028,net_fed,2408.9801225778647,2406.76801546686,2.2121071110045705,replaced
policy_aligned_delayed,2028,gross_ped,2458.2384607171307,2456.02635360613,2.2121071110004777,replaced
policy_aligned_delayed,2028,light_ruc_conventional,1101.1449856537977,1091.83652480716,9.308460846637672,replaced
policy_aligned_delayed,2028,light_bev,166.53162878800077,161.835735956468,4.695892831532774,replaced
policy_aligned_delayed,2028,phev,45.75419502295762,44.6937250120693,1.0604700108883165,replaced
policy_aligned_delayed,2028,heavy_ruc_conventional,1386.311724173783,1443.31242551064,-57.00070133685699,replaced
policy_aligned_delayed,2028,total_ruc,2682.155753103923,2724.5579044216,-42.40215131767718,replaced
policy_aligned_delayed,2028,total_nltf,5598.944285651198,5639.13432985787,-40.19004420667261,replaced
policy_aligned_delayed,2028,heavy_bev,20.2030363135059,20.2030363135059,0.0,fixed_shared
policy_aligned_delayed,2028,ruc_admin,37.7898168481218,37.7898168481218,0.0,fixed_shared
policy_aligned_delayed,2028,ruc_refunds,92.5467417239691,92.5467417239691,0.0,fixed_shared
policy_aligned_delayed,2028,fed_refunds,92.1117150014535,92.1117150014535,0.0,fixed_shared
policy_aligned_delayed,2028,net_mvr,490.25051027658566,490.250510276586,-3.410605131648481e-13,fixed_shared
policy_aligned_delayed,2028,tuc,17.5578996928248,17.5578996928248,0.0,fixed_shared
policy_aligned_delayed,2028,gross_lpg,42.8533768621873,42.8533768621873,0.0,fixed_shared
policy_aligned_delayed,2028,gross_cng,0.0,0.0,0.0,fixed_shared
policy_aligned_delayed,2029,net_fed,2547.158787066524,2541.24898464284,5.909802423684141,replaced
policy_aligned_delayed,2029,gross_ped,2601.932757205115,2596.02295478143,5.909802423685051,replaced
policy_aligned_delayed,2029,light_ruc_conventional,1217.0472748402567,1199.40927936719,17.637995473066667,replaced
policy_aligned_delayed,2029,light_bev,232.20456752529267,215.525243664418,16.67932386087466,replaced
policy_aligned_delayed,2029,phev,63.52214634749125,59.2187099895983,4.303436357892949,replaced
policy_aligned_delayed,2029,heavy_ruc_conventional,1482.1565083122564,1555.66965009176,-73.51314177950371,replaced
policy_aligned_delayed,2029,total_ruc,2980.9225198864415,3016.1778070195,-35.25528713305857,replaced
policy_aligned_delayed,2029,total_nltf,6030.482316639486,6059.82780134886,-29.345484709373522,replaced
policy_aligned_delayed,2029,heavy_bev,26.0839002326657,26.0839002326657,0.0,fixed_shared
policy_aligned_delayed,2029,ruc_admin,40.0918773715206,40.0918773715206,0.0,fixed_shared
policy_aligned_delayed,2029,ruc_refunds,102.088910316411,102.088910316411,0.0,fixed_shared
policy_aligned_delayed,2029,fed_refunds,97.8305167947018,97.8305167947018,0.0,fixed_shared
policy_aligned_delayed,2029,net_mvr,484.84310999369575,484.843109993696,-2.2737367544323206e-13,fixed_shared
policy_aligned_delayed,2029,tuc,17.5578996928248,17.5578996928248,0.0,fixed_shared
policy_aligned_delayed,2029,gross_lpg,43.0565466561107,43.0565466561107,0.0,fixed_shared
policy_aligned_delayed,2029,gross_cng,0.0,0.0,0.0,fixed_shared
policy_aligned_delayed,2030,net_fed,2657.1587751622055,2646.99523947345,10.163535688755474,replaced
policy_aligned_delayed,2030,gross_ped,2716.3269897056257,2706.16345401687,10.163535688755474,replaced
policy_aligned_delayed,2030,light_ruc_conventional,1309.100077907835,1295.55904536384,13.541032543995016,replaced
policy_aligned_delayed,2030,light_bev,309.21996941466256,276.56467906435,32.655290350312555,replaced
policy_aligned_delayed,2030,phev,83.356943288799,74.92884788283,8.428095405969003,replaced
policy_aligned_delayed,2030,heavy_ruc_conventional,1561.9271448665058,1652.12295550638,-90.19581063987425,replaced
policy_aligned_delayed,2030,total_ruc,3253.9778950949535,3289.93253419396,-35.95463909900627,replaced
policy_aligned_delayed,2030,total_nltf,6408.578288238843,6434.36939164909,-25.79110341024716,replaced
policy_aligned_delayed,2030,heavy_bev,32.8477686056627,32.8477686056627,0.0,fixed_shared
policy_aligned_delayed,2030,ruc_admin,42.4740089885113,42.4740089885113,0.0,fixed_shared
policy_aligned_delayed,2030,ruc_refunds,110.930625671315,110.930625671315,0.0,fixed_shared
policy_aligned_delayed,2030,fed_refunds,102.412992390514,102.412992390514,0.0,fixed_shared
policy_aligned_delayed,2030,net_mvr,479.8837182888595,479.88371828886,-5.115907697472721e-13,fixed_shared
policy_aligned_delayed,2030,tuc,17.5578996928248,17.5578996928248,0.0,fixed_shared
policy_aligned_delayed,2030,gross_lpg,43.2447778470936,43.2447778470936,0.0,fixed_shared
policy_aligned_delayed,2030,gross_cng,0.0,0.0,0.0,fixed_shared
