stream,name,model_kind,params_json,window,feature_set,include_target_lags,family_tag,min_train_quarters
PED,PED__diff__GBR_learning_rate0_03_max_depth1_n_estimators400__ylag__w40,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_03_max_depth2_n_estimators400__ylag__w40,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_05_max_depth1_n_estimators400__ylag__w40,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_05_max_depth2_n_estimators400__ylag__w40,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_06_max_depth1_n_estimators400__ylag__w40,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_06_max_depth2_n_estimators400__ylag__w40,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w40,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_08_max_depth2_n_estimators400__ylag__w40,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_03_max_depth1_n_estimators650__ylag__w40,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_03_max_depth2_n_estimators650__ylag__w40,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_05_max_depth1_n_estimators650__ylag__w40,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_05_max_depth2_n_estimators650__ylag__w40,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_06_max_depth1_n_estimators650__ylag__w40,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_06_max_depth2_n_estimators650__ylag__w40,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_08_max_depth1_n_estimators650__ylag__w40,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_08_max_depth2_n_estimators650__ylag__w40,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_03_max_depth1_n_estimators150__ylag__w64,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_03_max_depth2_n_estimators150__ylag__w64,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_05_max_depth1_n_estimators150__ylag__w64,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_05_max_depth2_n_estimators150__ylag__w64,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_06_max_depth1_n_estimators150__ylag__w64,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_06_max_depth2_n_estimators150__ylag__w64,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_08_max_depth1_n_estimators150__ylag__w64,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_08_max_depth2_n_estimators150__ylag__w64,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_03_max_depth1_n_estimators250__ylag__w64,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_03_max_depth2_n_estimators250__ylag__w64,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_05_max_depth1_n_estimators250__ylag__w64,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_05_max_depth2_n_estimators250__ylag__w64,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_06_max_depth1_n_estimators250__ylag__w64,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_06_max_depth2_n_estimators250__ylag__w64,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_08_max_depth1_n_estimators250__ylag__w64,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_08_max_depth2_n_estimators250__ylag__w64,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_03_max_depth1_n_estimators400__ylag__w64,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_03_max_depth2_n_estimators400__ylag__w64,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_05_max_depth1_n_estimators400__ylag__w64,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_05_max_depth2_n_estimators400__ylag__w64,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_06_max_depth1_n_estimators400__ylag__w64,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_06_max_depth2_n_estimators400__ylag__w64,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w64,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_08_max_depth2_n_estimators400__ylag__w64,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_03_max_depth1_n_estimators650__ylag__w64,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_03_max_depth2_n_estimators650__ylag__w64,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_05_max_depth1_n_estimators650__ylag__w64,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_05_max_depth2_n_estimators650__ylag__w64,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_06_max_depth1_n_estimators650__ylag__w64,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_06_max_depth2_n_estimators650__ylag__w64,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_08_max_depth1_n_estimators650__ylag__w64,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__diff__GBR_learning_rate0_08_max_depth2_n_estimators650__ylag__w64,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",64.0,diff,True,GBR,40
PED,PED__rich__GBR_learning_rate0_03_max_depth1_n_estimators150__noylag__w40,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_03_max_depth2_n_estimators150__noylag__w40,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_05_max_depth1_n_estimators150__noylag__w40,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_05_max_depth2_n_estimators150__noylag__w40,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_06_max_depth1_n_estimators150__noylag__w40,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_06_max_depth2_n_estimators150__noylag__w40,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_08_max_depth1_n_estimators150__noylag__w40,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_08_max_depth2_n_estimators150__noylag__w40,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_03_max_depth1_n_estimators250__noylag__w40,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_03_max_depth2_n_estimators250__noylag__w40,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_05_max_depth1_n_estimators250__noylag__w40,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_05_max_depth2_n_estimators250__noylag__w40,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_06_max_depth1_n_estimators250__noylag__w40,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_06_max_depth2_n_estimators250__noylag__w40,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_08_max_depth1_n_estimators250__noylag__w40,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_08_max_depth2_n_estimators250__noylag__w40,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_03_max_depth1_n_estimators400__noylag__w40,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_03_max_depth2_n_estimators400__noylag__w40,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_05_max_depth1_n_estimators400__noylag__w40,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_05_max_depth2_n_estimators400__noylag__w40,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_06_max_depth1_n_estimators400__noylag__w40,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_06_max_depth2_n_estimators400__noylag__w40,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_08_max_depth1_n_estimators400__noylag__w40,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_08_max_depth2_n_estimators400__noylag__w40,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_03_max_depth1_n_estimators650__noylag__w40,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_03_max_depth2_n_estimators650__noylag__w40,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_05_max_depth1_n_estimators650__noylag__w40,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_05_max_depth2_n_estimators650__noylag__w40,gbr,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w40,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_06_max_depth2_n_estimators650__noylag__w40,gbr,"{""learning_rate"": 0.06, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_08_max_depth1_n_estimators650__noylag__w40,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_08_max_depth2_n_estimators650__noylag__w40,gbr,"{""learning_rate"": 0.08, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 650, ""random_state"": 42, ""subsample"": 0.85}",40.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_03_max_depth1_n_estimators150__noylag__w64,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",64.0,rich,False,GBR,40
PED,PED__rich__GBR_learning_rate0_03_max_depth2_n_estimators150__noylag__w64,gbr,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.85}",64.0,rich,False,GBR,40
